localidade;data;visibilidade;faixa_bat;prof_interface_min;prof_interface_max;metodo;observador;tempo_geo;geo_cat;iar_geo;n_trans_vis;geo_id;obs
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;4;rpm;10;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;5;rpm;10;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;6;rpm;10;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;7;rpm;10;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;8;rpm;10;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;9;rpm;10;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;10;rpm;10;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;11;rpm;10;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;1;lg;10;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;2;lg;10;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;3;lg;0;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;4;lg;0;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;5;lg;2;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;6;lg;0;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;7;lg;0;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;8;lg;0;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;9;lg;2;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;10;lg;2;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;11;lg;0;11;66;conferir_palnilha de campo
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;1;tf;2;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;2;tf;8;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;3;tf;8;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;4;tf;8;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;5;tf;8;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;6;tf;8;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;7;tf;8;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;8;tf;5;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;9;tf;4;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;1;mp;0;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;2;mp;2;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;3;mp;6;9;67;Na
rancho_norte;30/01/2024;15;entremare;3;6;scuba;Ricardo_Scherer/ Samuel_Melo;4;mp;4;9;67;Na
